prod_key,qty,local_acg,local_disc
7478269,9,431.73,431.73
7478291,5.0625,175.516875,136.130625
7478292,1.0998,63.712,50.27
7478306,9,988.26,983.31
7478361,24,676.8,676.8
7478383,136.1665,5802.061667,5802.061667
7478420,3,44.61,44.61
7478484,6,166.89,166.89
7478510,10.35,243.72,239.319
7478531,3,108.48,79.2
7478540,3.4998,141.25,117.23
7478548,9,124.95,124.95
7478553,3,62.1,62.1
7478557,6,73.02,73.02
7478642,226.9999,2378.96,785.42
7478655,83,1237.6,1128.8
7478683,21,882,604.17
7478702,0.9,6.462,2.457
7478829,18,311.04,311.04
7478858,15,378.75,343.65
7478859,5,99.75,64.25
7478893,12,732.24,621.48
7478933,9,120.06,51.03
7478934,1.9998,19.04,9.52
7478970,60,1122,921
7478981,9,361.53,361.53
7479002,3,85.77,72.9
7479008,6,240.42,112.68
7479085,6,118.14,98.64
7479118,18,883.2,640.38
7479208,3,48.63,46.68
7479304,12,273.6,273.6
7479314,5.1,290.7,226.746
7479336,3,147,116.13
7479339,12,732,569.13
7479342,27,426.69,374.13
7479453,12,722.16,666
7479456,8.7,363.486,287.622
7479499,15,137.55,69.3
7479538,6,181.44,107.1
7479542,51,298.35,298.35
7479574,234.7,7529.176,1769.638
7479583,9,238.5,186.78
7479602,9,504.9,465.66
7479634,15,583.2,430.5
7479650,201,176.88,176.88
7479701,6,356.01,341.52
7479713,8.5713,409.2,349.7142857
7479830,3,89.1,89.1
7479902,3,129.21,103.56
7479979,21.2142,257.3292857,207.0578571
7479986,37,1168.9,1168.9
7479987,9,221.1,179.28
7480003,5.5713,82.73571429,82.73571429
7480039,9,523.98,523.98
7480056,9,99.45,99.45
7480057,3.4284,62.68285714,59.4
7480059,7.8213,170.4289286,124.6735714
7480089,6,29.94,25.86
7480090,3,25.14,22.8
7480091,3,46.98,42.63
7480094,9,781.74,781.74
7480156,4.3926,71.85642857,29.55857143
7480157,9.4284,157.2642857,100.9328571
7480163,14,139.72,139.72
7480270,9,0,0
7480937,6,189,189
7481438,12,124.56,124.56
7481838,3,206.4,206.4
7482544,9,202.5,202.5
7484032,1.5,56.13,56.13
7484053,27,1152.09,1152.09
7484847,12,236.52,236.52
7484905,3,45.9,45.9
7485027,12,270,270
